ID,Age,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,Money_spent,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Total_accepted,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
0,40,1985,Graduation,Married,70951,0,0,04-05-2013,66,"1,198.00",239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,3,11,0
1,64,1961,Graduation,Single,57091,0,0,15-06-2014,0,577.00,464,5,64,7,0,37,1,7,3,7,5,1,0,0,0,0,1,0,3,11,1
9,50,1975,Master,Single,46098,1,1,18-08-2012,86,120.00,57,0,27,0,0,36,4,3,2,2,8,0,0,0,0,0,0,0,3,11,0
13,78,1947,PhD,Widow,25358,0,1,22-07-2013,57,32.00,19,0,5,0,0,8,2,1,0,3,6,0,0,0,0,0,0,0,3,11,0
17,54,1971,PhD,Married,60491,0,1,06-09-2013,81,"1,028.00",637,47,237,12,19,76,4,6,11,7,5,0,0,0,0,0,0,0,3,11,0
20,60,1965,2n Cycle,Married,46891,0,1,01-09-2013,91,183.00,43,12,23,29,15,61,1,2,1,4,4,0,0,0,0,0,0,0,3,11,0
22,49,1976,Graduation,Divorced,46310,1,0,03-12-2012,99,309.00,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,3,11,0
24,65,1960,Master,Together,17144,1,1,15-02-2014,96,47.00,18,2,19,0,2,6,5,3,0,4,7,0,0,0,0,0,0,0,3,11,0
25,67,1958,Graduation,Married,65148,0,1,16-11-2012,9,"1,115.00",460,35,422,33,12,153,2,6,6,7,4,0,0,0,0,0,0,0,3,11,0
35,38,1987,Graduation,Married,25545,1,0,08-09-2012,35,210.00,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,0,3,11,1
48,61,1964,Graduation,Together,55761,0,1,24-04-2014,97,184.00,136,1,12,0,3,32,2,4,1,3,6,1,0,1,0,0,0,0,3,11,0
49,55,1970,Graduation,Single,20587,1,0,11-05-2014,39,25.00,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0,3,11,0
55,62,1963,Graduation,Together,56253,0,1,07-12-2012,83,597.00,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,3,11,0
67,53,1972,Master,Single,46423,1,1,18-09-2013,6,92.00,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,3,11,0
73,72,1953,PhD,Single,51411,1,2,26-05-2013,81,18.00,14,0,3,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,3,11,0
75,43,1982,2n Cycle,Together,41039,0,0,25-07-2013,32,467.00,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,3,11,0
78,56,1969,Graduation,Married,25293,1,0,15-09-2013,51,37.00,15,0,11,0,2,9,1,1,1,2,8,0,0,0,0,0,0,0,3,11,0
87,44,1981,2n Cycle,Married,27733,1,0,26-08-2013,16,57.00,0,7,5,26,2,17,2,2,0,3,7,0,0,0,0,0,0,0,3,11,0
89,50,1975,2n Cycle,Married,22212,1,0,09-12-2013,49,69.00,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,3,11,0
92,37,1988,Graduation,Alone,34176,1,0,12-05-2014,12,89.00,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,3,11,0
113,74,1951,Graduation,Married,30833,1,1,16-07-2013,33,28.00,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,3,11,0
115,59,1966,Master,Single,43456,0,1,26-03-2013,0,393.00,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,3,11,0
123,74,1951,Graduation,Widow,67046,0,1,06-01-2013,92,993.00,544,35,133,23,151,107,2,4,5,4,2,0,0,0,0,0,0,0,3,11,0
125,67,1958,2n Cycle,Together,53083,1,1,15-05-2013,65,271.00,215,7,33,3,0,13,6,5,1,5,7,1,0,1,0,0,0,0,3,11,0
143,55,1970,Graduation,Single,61209,0,0,25-08-2013,73,957.00,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,3,11,0
146,65,1960,PhD,Single,76045,0,0,15-11-2013,78,"1,323.00",760,53,400,17,93,0,1,4,5,11,2,1,0,0,0,1,0,0,3,11,0
153,72,1953,Graduation,Divorced,23272,0,0,17-10-2013,29,46.00,19,3,6,4,2,12,1,1,0,3,4,0,0,0,0,0,0,0,3,11,0
158,80,1945,PhD,Together,71604,0,0,17-11-2013,3,"1,196.00",345,53,528,98,75,97,1,8,3,5,4,1,1,0,0,0,0,0,3,11,1
164,48,1977,PhD,Married,28973,0,0,13-10-2012,59,269.00,206,0,46,3,2,12,2,5,1,5,8,0,0,0,0,0,0,0,3,11,0
175,39,1986,Graduation,Married,71952,1,0,10-01-2013,93,"1,443.00",656,80,455,52,107,93,2,8,4,8,4,2,1,0,1,0,0,0,3,11,0
176,45,1980,2n Cycle,Single,67506,0,1,02-01-2014,73,331.00,90,38,67,33,36,67,1,4,1,6,3,0,0,0,0,0,0,0,3,11,0
178,69,1956,Graduation,Married,62503,0,1,18-02-2013,40,973.00,478,0,193,110,75,117,4,8,3,11,5,0,0,0,0,0,0,0,3,11,0
182,79,1946,PhD,Together,44124,0,1,11-05-2013,62,397.00,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,3,11,0
193,29,1996,Basic,Married,14421,0,0,17-02-2014,81,16.00,0,0,2,3,3,8,1,1,0,2,5,1,1,0,0,0,0,0,3,11,0
194,60,1965,Graduation,Married,48006,1,1,09-06-2014,55,41.00,23,0,11,3,2,2,1,1,0,3,6,0,0,0,0,0,0,0,3,11,0
195,53,1972,Graduation,Single,38808,1,0,26-08-2012,21,246.00,125,17,52,3,19,30,4,5,1,4,8,1,1,0,0,0,0,0,3,11,1
199,63,1962,Master,Single,45183,0,0,20-01-2013,33,315.00,219,3,60,12,9,12,1,4,1,7,7,1,0,1,0,0,0,0,3,11,0
202,77,1948,PhD,Widow,82032,0,0,05-04-2014,54,"1,234.00",332,194,377,149,125,57,0,4,6,7,1,0,0,0,0,0,0,0,3,11,0
203,50,1975,Master,Single,81169,0,0,14-04-2013,47,"2,089.00",1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,3,11,0
213,62,1963,PhD,Single,23091,1,1,28-05-2014,98,48.00,35,0,11,0,0,2,4,2,1,3,7,0,0,0,0,0,0,0,3,11,0
